"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"248","JoJo Natson (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"249","Chad Williams (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Gehrig Dieter (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"251","Victor Bolden Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"252","Deante Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"253","Marcus Kemp (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"254","Josh Malone (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"255","Andy Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"256","Jaydon Mickens (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"257","Max McCaffrey (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"258","Keon Hatcher (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"259","Jehu Chesson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"260","Noah Brown (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"261","Taywan Taylor (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"262","Mose Frazier (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"263","Janarion Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"264","Saeed Blacknall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"265","Rico Gafford (FA)","2","2","66","33.0","49","3","1","0","0","0","0","4","0.0","0.0","0.0%"
"266","Keith Kirkwood (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"267","John Franklin III (FA)","0","0","0","0","0","0","0","1","11","0","0","1","0.0","0.0","0.0%"
"268","Cam Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"269","J'Mon Moore (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"270","Jester Weah (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"271","River Cracraft (MIA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"272","Lance Lenoir Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"273","Equanimeous St. Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"274","J.J. Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"275","Darvin Kidsy (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"276","Derrick Willies (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"277","Daurice Fountain (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"278","Ty Montgomery (NE)","13","17","90","6.9","21","1","0","32","103","0","0","16","0.0","0.0","0.7%"
"279","Rashad Greene (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"280","Kaelin Clay (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"281","Freddie Martino (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"282","Keenan Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"283","Alonzo Russell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"284","Charone Peake (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"285","Leonte Carroo (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"286","Josh Doctson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"287","Corey Coleman (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"288","Tony Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"289","Bradley Marquez (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"290","Eli Rogers (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"291","Darrius Shepherd (LAC)","1","2","1","1.0","1","0","0","0","0","0","1","6","-1.4","-0.2","0.0%"
"292","Michael Walker (FA)","2","3","15","7.5","9","0","0","0","0","0","2","7","-1.5","-0.2","0.0%"
"293","Quincy Enunwa (FA)","1","3","-4","-4.0","8","0","0","0","0","0","1","1","-1.9","-1.9","0.0%"
"294","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","1","2","-2.0","-1.0","0.6%"
"295","Ray-Ray McCloud III (SF)","0","0","0","0","0","0","0","0","0","0","1","6","-2.0","-0.3","0.6%"
""
""
